timestamp,station_id,temperature,temperature_corrected,pressure,pressure_corrected,humidity,humidity_corrected,anomaly_score,confidence,severity,root_cause_label,is_flagged,is_anomaly,anomaly_type
2026-08-29 12:00:00,AWS_DELHI,34.1,34.1,977.7,977.7,55.0,55.0,0.10867151821299807,0.38766909243983233,Normal,Unclassified multivariate anomaly (novel pattern flagged by ML),False,False,none
2026-08-29 12:00:00,AWS_SHIMLA,24.3,18.8,808.8,806.3,65.0,95.0,0.27925126357950864,0.47295896512308766,Low,Sensor fault: reading outside physically possible range,True,False,none
2026-08-29 12:00:00,AWS_NOIDA,34.2,34.2,979.3,979.3,55.0,55.0,0.07763853411677661,0.038819267058388306,Normal,Data spike: implausible instantaneous jump,False,False,none
2026-08-29 12:00:00,AWS_BLR,27.4,27.4,912.8,912.8,59.0,59.0,0.028456180573111826,0.014228090286555913,Normal,Data spike: implausible instantaneous jump,False,False,none
2026-08-29 12:00:00,AWS_KOCHI,28.3,28.3,1012.4,1012.4,78.0,78.0,0.022134208052828147,0.011067104026414074,Normal,none,False,False,none
2026-08-29 12:00:00,AWS_GURGAON,33.5,33.5,977.1,977.1,57.0,57.0,0.05860210803240037,0.029301054016200184,Normal,Data spike: implausible instantaneous jump,False,False,none
2026-08-29 12:00:00,AWS_JAISALMER,31.9,31.9,977.1,977.1,56.0,56.0,0.023584557541090578,0.011792278770545289,Normal,none,False,False,none
2026-08-29 13:00:00,AWS_BLR,28.0,28.0,912.1,912.1,57.0,57.0,0.01935857382208016,0.00967928691104008,Normal,none,False,False,none
2026-08-29 13:00:00,AWS_JAISALMER,32.9,32.9,976.6,976.6,53.0,53.0,0.013302701740741317,0.006651350870370659,Normal,none,False,False,none
2026-08-29 13:00:00,AWS_KOCHI,28.6,28.6,1011.8,1011.8,78.0,78.0,0.016443119112247773,0.008221559556123886,Normal,none,False,False,none
2026-08-29 13:00:00,AWS_NOIDA,34.8,34.8,978.6,978.6,53.0,53.0,0.07974593963782142,0.03987296981891071,Normal,Data spike: implausible instantaneous jump,False,False,none
2026-08-29 13:00:00,AWS_GURGAON,34.0,34.0,976.4,976.4,55.0,55.0,0.07053318511609853,0.035266592558049266,Normal,Data spike: implausible instantaneous jump,False,False,none
2026-08-29 13:00:00,AWS_DELHI,34.7,34.7,977.1,977.1,52.0,52.0,0.08564365250767689,0.2094884929205051,Normal,Unclassified multivariate anomaly (novel pattern flagged by ML),False,False,none
2026-08-29 13:00:00,AWS_SHIMLA,24.2,18.8,808.6,806.25,65.0,95.0,0.2603348816853199,0.4635007741759932,Low,Sensor fault: reading outside physically possible range,True,False,none
2026-08-29 14:00:00,AWS_SHIMLA,23.9,18.8,807.7,806.25,67.0,95.0,0.29596665085708296,0.4813166587618748,Low,Sensor fault: reading outside physically possible range,True,False,none
2026-08-29 14:00:00,AWS_GURGAON,34.2,34.2,975.1,975.1,53.0,53.0,0.11863382023254282,0.22598357678293807,Normal,Data spike: implausible instantaneous jump,False,False,none
2026-08-29 14:00:00,AWS_BLR,25.6,25.6,911.2,911.2,62.0,62.0,0.04363637447297265,0.021818187236486326,Normal,Data spike: implausible instantaneous jump,False,False,none
2026-08-29 14:00:00,AWS_JAISALMER,33.6,33.6,975.7,975.7,51.0,51.0,0.05634507178706078,0.02817253589353039,Normal,Data spike: implausible instantaneous jump,False,False,none
2026-08-29 14:00:00,AWS_KOCHI,28.6,28.6,1010.9,1010.9,78.0,78.0,0.04078642597057712,0.02039321298528856,Normal,Data spike: implausible instantaneous jump,False,False,none
2026-08-29 14:00:00,AWS_NOIDA,35.0,35.0,977.5,977.5,51.0,51.0,0.10729778582532247,0.22031555957932789,Normal,Data spike: implausible instantaneous jump,False,False,none
2026-08-29 14:00:00,AWS_DELHI,34.9,30.6,975.9,976.5,50.0,74.0,0.15048253951564272,0.4085746030911547,Low,Unclassified multivariate anomaly (novel pattern flagged by ML),True,False,none
2026-08-29 15:00:00,AWS_GURGAON,34.2,34.2,974.4,974.4,52.0,52.0,0.06731506855883866,0.03365753427941933,Normal,Unclassified multivariate anomaly (novel pattern flagged by ML),False,False,none
2026-08-29 15:00:00,AWS_JAISALMER,33.9,33.9,974.9,974.9,50.0,50.0,0.04323744506088568,0.02161872253044284,Normal,Data spike: implausible instantaneous jump,False,False,none
